Target Name, latitude, longitude, count_GT200_soundings, count_all, ratio
v332020_Mauna_Loa_Hawaii,19.48,-155.61,25.0,28.0,0.8928571428571429
v252120_Ulawun,-5.05,151.33,57.0,131.0,0.4351145038167939
v273030_Mayon,13.26,13.26,58.0,74.0,0.7837837837837838
v345070_Turrialba,10.025,-83.76700000000001,71.0,105.0,0.6761904761904762
v233020_Piton_de_la_Fournaise_Reunion,-21.231,55.713,21.0,31.0,0.6774193548387096
v282110_Aso,32.88,131.11,0.0,1.0,0.0
v342090_Fuego,14.47,-90.88,99.0,129.0,0.7674418604651163
v252140_Rabaul_Tarvurvur,-4.271,152.203,16.0,42.0,0.38095238095238093
v354006_Sabancaya,-15.79516732,-71.85967790000001,117.0,137.0,0.8540145985401459
v282080_Sakurajima,31.585,130.657,13.0,29.0,0.4482758620689655
v273070_Taal,14.008,120.994,22.0,50.0,0.44
v223030_Nyiragongo,-1.52,29.25,77.0,112.0,0.6875
v262000_Krakatau_Anak_Krakatau,-6.1,105.42,5.0,27.0,0.18518518518518517
v323150_Mammoth_Mountain_LVC,37.631,-119.032,4.0,6.0,0.6666666666666666
v241040_White_Island,-37.52019052,177.1806283,11.0,25.0,0.44
v257100_Yasur,-19.532,169.447,0.0,26.0,0.0
v2110010_Campi_Flegrei_and_Pisciarelli,40.827,14.139,22.0,39.0,0.5641025641025641
v354020_Ubinas,-16.34,-70.9,43.0,50.0,0.86
v251020_Manam,-4.08,145.04,5.0,28.0,0.17857142857142858
v351020_Nevado_del_Ruiz,4.895,-75.322,32.0,40.0,0.8
v344100_Masaya,11.98,-86.16,32.0,48.0,0.6666666666666666
v263310_Bromo,-7.94,112.95,19.0,35.0,0.5428571428571428
v264020_Agung,-8.34,115.51,60.0,119.0,0.5042016806722689
v211050_Vulcano,38.404,14.962,9.0,14.0,0.6428571428571429
v222120_Oldoinyo_Lengai,-2.764,35.914,14.0,16.0,0.875
v345040_Poas,10.2,-84.23299999999999,1.0,1.0,1.0
v241100_Ruapehu,-39.28,175.57,57.0,81.0,0.7037037037037037
v325010_Yellowstone,44.4,-110.7,69.0,94.0,0.7340425531914894
v353010_Fernandina_Galapagos,-0.37,-91.55,3.0,43.0,0.06976744186046512
v221080_Erta_Ale,13.6,40.67,83.0,98.0,0.8469387755102041
v268010_Dukono,1.68,127.88,57.0,161.0,0.35403726708074534
v357090_Copahue,-37.86,-71.16,71.0,80.0,0.8875
v342110_Pacaya,14.382,-90.601,19.0,25.0,0.76
v332010_East_Rift_Zone_Hawaii,19.275,-154.91,2.0,13.0,0.15384615384615385
v283110_Asama,36.4,138.53,9.0,12.0,0.75
v342030_Santiaguito_Santa_Maria,14.757,-91.552,25.0,31.0,0.8064516129032258
v305060_Changbaishan_CN_Baekdusan_Paekdusan_NK,41.98,128.08,70.0,92.0,0.7608695652173914
v224010_Mt._Cameroon,4.211,9.175,54.0,124.0,0.43548387096774194
v353050_Sierra_Negra,-0.83,-91.17,61.0,117.0,0.5213675213675214
v223020_Nyamuragira,-1.408,29.2,18.0,27.0,0.6666666666666666
v224030_Oku_Volcanic_Field_Lake_Nyos,6.437,10.298,52.0,73.0,0.7123287671232876
v263280_Kelut,-7.93,112.31,11.0,19.0,0.5789473684210527
v255020_Bagana,-6.09,155.23,8.0,21.0,0.38095238095238093
v344090_Momotombo,12.423,-86.539,13.0,26.0,0.5
v282030_Suwanosejima_Marianas,29.635,129.716,0.0,30.0,0.0
v282060_Satsuma-Iwojima_Kikai,30.789,130.308,0.0,4.0,0.0
v221101_Nabro,13.37,41.7,50.0,60.0,0.8333333333333334
v261080_Sinabung,3.17,98.391,68.0,136.0,0.5
v263300_Semeru,-8.107999999999999,112.922,0.0,0.0,0.0
v261170_Kerinci,-1.7,101.26,22.0,40.0,0.55
v266100_Lokon-Empung_Sulawesi,1.36,124.79,6.0,13.0,0.46153846153846156
v354010_Misti,-16.294,-71.40899999999999,15.0,18.0,0.8333333333333334
v351110_Chiles-Cerro_Negro,0.826,-77.964,38.0,57.0,0.6666666666666666
