Target Name,latitude,longitude,count_GT200_soundings,count_all,SAM_success_rate
ecostress_us_cf1,46.7815,-117.0821,29.0,47.0,0.6170212765957447
ecostress_us_cs1,44.103051,-89.53785500000001,5.0,10.0,0.5
ecostress_us_cz1,37.109,-119.731,8.0,12.0,0.6666666666666666
ecostress_us_cz2,37.031,-119.256,1.0,1.0,1.0
ecostress_us_hn1,46.408889,-119.275,22.0,31.0,0.7096774193548387
ecostress_us_hn2,46.688861,-119.464111,10.0,13.0,0.7692307692307693
ecostress_us_kfs,39.0561,-95.1907,15.0,26.0,0.5769230769230769
ecostress_us_kon,39.0824,-96.5603,26.0,36.0,0.7222222222222222
ecostress_us_los,46.0827,-89.9792,10.0,34.0,0.29411764705882354
ecostress_us_me2,44.4523,-121.557,77.0,113.0,0.6814159292035398
ecostress_us_men,43.07725,-89.402984,14.0,19.0,0.7368421052631579
ecostress_us_mms,39.3232,-86.4131,19.0,30.0,0.6333333333333333
ecostress_us_mrf,44.6465,-123.551,5.0,13.0,0.38461538461538464
ecostress_us_ro4,44.6781,-93.0723,10.0,13.0,0.7692307692307693
ecostress_us_rr,38.557845,-121.863457,5.0,8.0,0.625
ecostress_us_scc,33.61,-116.45,3.0,5.0,0.6
ecostress_us_scs,33.734,-117.696,4.0,4.0,1.0
ecostress_us_ses,34.3349,-106.7442,46.0,55.0,0.8363636363636363
ecostress_us_slt,39.9138,-74.596,6.0,10.0,0.6
ecostress_us_sp,36.234696,-119.924671,1.0,1.0,1.0
ecostress_us_syv,46.242,-89.3477,12.0,31.0,0.3870967741935484
ecostress_us_tx2,31.4802,-96.8827,12.0,18.0,0.6666666666666666
ecostress_us_tx5,30.5328,-96.4252,0.0,0.0,0.0
ecostress_us_tx6,27.6666,-98.2089,16.0,26.0,0.6153846153846154
ecostress_us_tx9,28.780508,-95.614367,1.0,2.0,0.5
ecostress_us_var,38.4133,-120.9507,5.0,7.0,0.7142857142857143
ecostress_us_vcm,35.8884,-106.5321,5.0,6.0,0.8333333333333334
ecostress_us_wjs,34.4255,-105.8615,15.0,17.0,0.8823529411764706
ecostress_us_wkg,31.7365,-109.9419,14.0,20.0,0.7
ecostress_us_wpp,44.1368,-123.182,42.0,80.0,0.525
ecostress_us_wwt,45.1089,-122.666,13.0,19.0,0.6842105263157895
fossil_Seoul_South_Korea,37.56826000000007,126.97783,76.0,173.0,0.4393063583815029
fossil_Guangzhou_China,23.11667000000006,113.2500000000001,55.0,139.0,0.39568345323741005
fossil_New_York_USA,40.71455000000003,-74.00713999999994,28.0,70.0,0.4
